DATE,POP
1/1/1960,10276477
1/1/1961,10483000
1/1/1962,10742000
1/1/1963,10950000
1/1/1964,11167000
1/1/1965,11388000
1/1/1966,11651000
1/1/1967,11799000
1/1/1968,12009000
1/1/1969,12263000
1/1/1970,12507000
1/1/1971,12937000
1/1/1972,13177000
1/1/1973,13380000
1/1/1974,13723000
1/1/1975,13893000
1/1/1976,14033000
1/1/1977,14192000
1/1/1978,14358000
1/1/1979,14514000
1/1/1980,14692000
1/1/1981,14927000
1/1/1982,15178000
1/1/1983,15369000
1/1/1984,15544000
1/1/1985,15758000
1/1/1986,16018400
1/1/1987,16263900
1/1/1988,16532200
1/1/1989,16814400
1/1/1990,17065100
1/1/1991,17284000
1/1/1992,17495000
1/1/1993,17667000
1/1/1994,17855000
1/1/1995,18072000
1/1/1996,18311000
1/1/1997,18517000
1/1/1998,18711000
1/1/1999,18926000
1/1/2000,19153000
1/1/2001,19413000
1/1/2002,19651400
1/1/2003,19895400
1/1/2004,20127400
1/1/2005,20394800
1/1/2006,20697900
1/1/2007,20827600
1/1/2008,21249200
1/1/2009,21691700
1/1/2010,22031750
1/1/2011,22340024
1/1/2012,22742475
1/1/2013,23145901
1/1/2014,23504138
1/1/2015,23850784
1/1/2016,24210809
1/1/2017,24598933
1/1/2018,24772247
